ParentGroup,MemberGroup,Phase
AAD_DG_Android-Enterprise-Devices-Update-Ring-01,AAD_DA_Android-Enterprise-Devices-Update-Ring-01,
AAD_DG_Android-Enterprise-Devices-Update-Ring-02,AAD_DA_Android-Enterprise-Devices-Update-Ring-02,
AAD_DG_AutoPilot-Devices,AAD_DA_AutoPilot-Devices,
AAD_DG_AutoPilot-Devices,AAD_DD_AutoPilot-Devices,Done
AAD_DG_AutoPilot-Devices-Kiosk,AAD_DA_AutoPilot-Devices-KioskMulti,
AAD_DG_AutoPilot-Devices-Kiosk_and_Shared,AAD_DA_AutoPilot-Devices-KioskMulti,
AAD_DG_AutoPilot-Devices-Kiosk_and_Shared,AAD_DA_AutoPilot-Devices-Shared,
AAD_DG_AutoPilot-Devices-Kiosk_and_Shared-Ring-01,AAD_DA_AutoPilot-Devices-KioskMulti-Ring-01,
AAD_DG_AutoPilot-Devices-Kiosk_and_Shared-Ring-01,AAD_DA_AutoPilot-Devices-KioskSingle-Ring-01,
AAD_DG_AutoPilot-Devices-Kiosk_and_Shared-Ring-02,AAD_DA_AutoPilot-Devices-KioskMulti-Ring-02,
AAD_DG_AutoPilot-Devices-Kiosk_and_Shared-Ring-02,AAD_DA_AutoPilot-Devices-KioskSingle-Ring-02,
AAD_DG_AutoPilot-Devices-Kiosk-Ring-01,AAD_DA_AutoPilot-Devices-KioskSingle-Ring-01,
AAD_DG_AutoPilot-Devices-Kiosk-Ring-01,AAD_DA_AutoPilot-Devices-Shared-M365-Ring-01,
AAD_DG_AutoPilot-Devices-Kiosk-Ring-02,AAD_DA_AutoPilot-Devices-KioskMulti-Ring-02,
AAD_DG_AutoPilot-Devices-Kiosk-Ring-02,AAD_DA_AutoPilot-Devices-KioskSingle-Ring-02,
AAD_DG_AutoPilot-Devices-KioskMulti,AAD_DA_AutoPilot-Devices-KioskMulti,
AAD_DG_AutoPilot-Devices-KioskMulti-CUS-BeursLaptop,AAD_DA_AutoPilot-Devices-KioskMulti-CUS-BeursLaptop,
AAD_DG_AutoPilot-Devices-KioskMulti-Custom,AAD_DA_AutoPilot-Devices-KioskMulti-BeursLaptop,
AAD_DG_AutoPilot-Devices-KioskMulti-Custom,AAD_DA_AutoPilot-Devices-KioskMulti-CUS-BeursLaptop,
AAD_DG_AutoPilot-Devices-KioskMulti-Custom,AAD_DA_AutoPilot-Devices-KioskMulti-WindowsApp,
AAD_DG_AutoPilot-Devices-Shared,AAD_DA_AutoPilot-Devices-Shared,
AAD_DG_AutoPilot-Devices-Shared-All,AAD_DA_AutoPilot-Devices-Shared,
AAD_DG_AutoPilot-Devices-Shared-All-Ring-01,AAD_DA_AutoPilot-Devices-Shared-M365-Ring-01,
AAD_DG_AutoPilot-Devices-Shared-All-Ring-01,AAD_DA_AutoPilot-Devices-Shared-Ring-01,
AAD_DG_AutoPilot-Devices-Shared-All-Ring-02,AAD_DA_AutoPilot-Devices-Shared-M365-Ring-02,
AAD_DG_AutoPilot-Devices-Shared-All-Ring-02,AAD_DA_AutoPilot-Devices-Shared-Ring-02,
AAD_DG_AutoPilot-Devices-Shared-Ring-01,AAD_DA_AutoPilot-Devices-Shared-M365-Ring-01,
AAD_DG_AutoPilot-Devices-Shared-Ring-01,AAD_DA_AutoPilot-Devices-Shared-Ring-01,
AAD_DG_AutoPilot-Devices-Shared-Ring-02,AAD_DA_AutoPilot-Devices-Shared-M365-Ring-02,
AAD_DG_AutoPilot-Devices-Shared-Ring-02,AAD_DA_AutoPilot-Devices-Shared-Ring-02,
AAD_DG_AutoPilot-PreProvisioning,AAD_DA_AutoPilot-PreProvisioning,
AAD_DG_AutoPilot-PreProvisioning,AAD_DD_AutoPilot-PreProvisioning,
AAD_DG_CloudPC-Devices,AAD_DD_CloudPC-Devices,
AAD_DG_iOS-Devices-Ring-01,AAD_DA_iOS-Devices-Ring-01,
AAD_DG_iOS-Devices-Ring-02,AAD_DA_iOS-Devices-Ring-02,
AAD_DG_iOS-iPadOS-Devices-Ring-01,AAD_DA_iPadOS-Devices-Ring-01,
AAD_DG_iOS-iPadOS-Devices-Ring-02,AAD_DA_iOS-iPadOS-Devices-Ring-02,
AAD_DG_iPadOS-Devices-Ring-01,AAD_DA_iPadOS-Devices-Ring-01,
AAD_DG_iPadOS-Devices-Ring-02,AAD_DA_iPadOS-Devices-Ring-02,
AAD_DG_macOS-Devices-Update-Ring-01,AAD_DA_macOS-Devices-Update-Ring-01,
AAD_DG_macOS-Devices-Update-Ring-02,AAD_DA_macOS-Devices-Update-Ring-02,
AAD_DG_Update-Ring-01,AAD_DA_Update-Ring-01,
AAD_DG_Update-Ring-02,AAD_DA_Update-Ring-02,
AAD_UG_Update-Ring-00,AAD_UA_Update-Ring-00,
AAD_UG_Update-Ring-01,AAD_UA_Update-Ring-01,
AAD_UG_Update-Ring-02,AAD_UA_Update-Ring-02,
